pond,year,larv_density,large_prey,vert_pred,invert_pred,water_temp,salinity,chlorophyll,turbidity,emergent_veg,depth,dist_to_breed,suitable_598_split,suitable_598,Azolla Presence/Absence,log_larv_dens,log_large_prey,log_invert_pred,log_water_temp,log_salinity,log_chlorophyll,log_turbidity,log_emergent_veg,log_depth,log_dist_to_breed,log_suitable_598_split,log_suitable_598,sqrt_larv_density,sqrt_large_prey,sqrt_invert_pred,sqrt_water_temp,sqrt_salinity,sqrt_chlorophyll,sqrt_turbidity,sqrt_emergent_veg,sqrt_depth,sqrt_dist_to_breed,sqrt_suitable_598_split,sqrt_suitable_598
Buena Vista 1,2021,0,,,,,,,,,0,509.3790289,1070100,1070100,NA,-2.304490568,,,,,,,,,,,,,,,,,,,,,,,
Millsap 2,2021,0,,,,,,,,,6,82.14877817,688500,1113300,NA,-2.304490568,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista 1,2022,0,,,,,,,,,0,509.3790289,1070100,1070100,NA,-2.304490568,,,,,,,,,,,,,,,,,,,,,,,
Central,2022,0,6.25,0,0,22.8,0.2,6348,95.42,5,10,674.1725765,236700,310500,0,-2.304490568,0.80048796,-1.942008069,1.357934847,-0.522878745,3.802705327,1.984167127,0.77815125,1,2.828771083,5.374198258,5.492061605,0,2.5,0,4.774934555,0.447213596,79.67433715,9.768316129,2.236067977,3.16227766,25.96483346,486.5182422,557.2252686
Suess,2022,0.15625,0.625,0,0,10.9,0,213.4,12.75,40,15,208.6263557,648900,1007100,0,-0.792607168,-0.160103154,-1.942008069,1.037426498,-1,2.331224781,1.138302698,1.612783857,1.176091259,2.319369172,5.812177774,6.003072596,0.395284708,0.790569415,0,3.301514804,0,14.60821687,3.570714214,6.32455532,3.872983346,14.44390376,805.5432949,1003.543721
Calabasas,2022,0.335820896,109.3283582,0,0.111940299,13.6,0,367.8,4.379,90,27,208.6263557,883800,1260000,0,-0.467524356,2.038997571,-0.908794413,1.133538908,-1,2.566790912,0.730701544,1.959041392,1.431363764,2.319369172,5.946353997,6.100370545,0.579500557,10.45602019,0.334574803,3.687817783,0,19.17811252,2.092606031,9.486832981,5.196152423,14.44390376,940.106377,1122.497216
South Moro Cojo,2022,0.004960317,6.428571429,1,0.114285714,21.9,0.7,407.8,9.25,80,30,1240.835816,732600,899100,0,-2.003460572,0.812595076,-0.90061537,1.340444115,-0.096910013,2.611510887,1.010723865,1.908485019,1.477121255,3.093714321,5.864866914,5.953807998,0.070429518,2.535462764,0.338061702,4.679743583,0.836660027,20.19405853,3.041381265,8.94427191,5.477225575,35.22549951,855.9205571,948.2088378
Visitor Center,2022,0,43.11428571,0,0.114285714,18.7,0.2,153.4,1.753,3,30,434.2685445,692100,756000,0,-2.304490568,1.635292217,-0.90061537,1.271841607,-0.522878745,2.188647296,0.439806211,0.602059991,1.477121255,2.637758373,5.840168849,5.878521796,0,6.566146946,0.338061702,4.324349662,0.447213596,12.38547536,1.324009063,1.732050808,5.477225575,20.83911093,831.9254774,869.4826048
Pond S,2021,0.717948718,5.914285714,0,0.6,26.2,0.4,287.8,17.72,30,32,137.1070221,579600,603900,0,-0.140916347,0.776770345,-0.213654271,1.418301291,-0.301029996,2.460597189,1.272305844,1.491361694,1.505149978,2.137059698,5.763128377,5.78096503,0.847318546,2.43193045,0.774596669,5.118593557,0.632455532,16.96466917,4.209513036,5.477225575,5.656854249,11.70927078,761.3146524,777.1100308
Ellicott,2021,0.257142857,12.01428571,1,0.1,18.2,0.1,2429,23.57,60,35,382.2162706,671400,840600,0,-0.58152772,1.082101172,-0.953003439,1.260071388,-0.698970004,3.385606274,1.390405156,1.785329835,1.544068044,2.582309171,5.826981337,5.924589386,0.507092553,3.466162966,0.316227766,4.266145802,0.316227766,49.28488612,4.854894438,7.745966692,5.916079783,19.55035219,819.390017,916.8424074
South Moro Cojo,2021,0.032653061,31.42857143,0,0.171428571,25.6,0.9,948.9,12.52,60,39,1240.835816,732600,899100,0,-1.424657662,1.498244896,-0.737888072,1.408239965,0,2.977677888,1.130976692,1.785329835,1.591064607,3.093714321,5.864866914,5.953807998,0.18070158,5.606119106,0.414039335,5.059644256,0.948683298,30.80422049,3.538361203,7.745966692,6.244997998,35.22549951,855.9205571,948.2088378
Calabasas,2021,0.127272727,145.2857143,0,0.342857143,27.8,0,1832,9.814,90,40,208.6263557,883800,1260000,0,-0.878660005,2.16242215,-0.45064636,1.444044796,-1,3.263162465,1.033986365,1.959041392,1.602059991,2.319369172,5.946353997,6.100370545,0.356753034,12.05345238,0.585540044,5.272570531,0,42.80186912,3.132730438,9.486832981,6.32455532,14.44390376,940.106377,1122.497216
Delaney,2021,0,5.571428571,0,0,21.3,0,329.6,5.327,35,40,389.0821453,974700,1012500,0,-2.304490568,0.751132408,-1.942008069,1.328379603,-1,2.519302849,0.801197835,1.556302501,1.602059991,2.590041302,5.988870966,6.005395032,0,2.360387377,0,4.615192304,0,18.15488915,2.308029463,5.916079783,6.32455532,19.72516528,987.2689603,1006.23059
Prospect,2021,2.728571429,10.27142857,1,0.014285714,24.4,0.2,1481,31.44,15,40,382.2162706,639900,882900,0,0.436724122,1.014440529,-1.589825547,1.387389826,-0.522878745,3.170848204,1.511080846,1.204119983,1.602059991,2.582309171,5.80611211,5.945911517,1.651838802,3.204906952,0.11952286,4.939635614,0.447213596,38.48376281,5.607138308,3.872983346,6.32455532,19.55035219,799.9374976,939.6275858
Valencia,2021,0.762711864,5.818181818,0,0,12.7,0,314.1,2.15,50,40,1191.474501,37800,971100,1,-0.114824197,0.769735286,-1.942008069,1.103803721,-1,2.498448403,0.498310554,1.707570176,1.602059991,3.076084752,4.5774918,5.987263954,0.873333764,2.412090757,0,3.563705936,0,17.72286659,1.46628783,7.071067812,6.32455532,34.51774183,194.422221,985.4440623
Pond N,2021,0.422110553,4.617142857,0,1.714285714,15.8,0.4,406.2,3.75,15,42,122.3977912,675000,675000,0,-0.36950005,0.670599225,0.236968894,1.198657087,-0.301029996,2.609807769,0.67669361,1.204119983,1.62324929,2.087773581,5.829303773,5.829303773,0.649700356,2.148753792,1.309307341,3.974921383,0.632455532,20.15440399,1.936491673,3.872983346,6.480740698,11.06335352,821.5838363,821.5838363
Pond R,2021,0.444444444,1.028571429,0,1.104761905,21.3,0.3,547.1,7.317,10,45,137.1070221,650700,652500,0,-0.347362331,0.039508542,0.047738313,1.328379603,-0.397940009,2.738859802,0.919966702,1.041392685,1.653212514,2.137059698,5.813380807,5.814580516,0.666666666,1.014185106,1.051076546,4.615192304,0.547722558,23.39016887,2.704995379,3.16227766,6.708203932,11.70927078,806.6597796,807.7747211
Upper Cattail,2021,0,58.17142857,0,0.114285714,18.8,0.2,1013,32.17,0,45,125.4005816,396900,832500,0,-2.304490568,1.765207162,-0.90061537,1.274157849,-0.522878745,3.006037955,1.520745472,0,1.653212514,2.098299551,5.598681099,5.920384242,0,7.627019639,0.338061702,4.335896678,0.447213596,31.82766093,5.671860365,0,6.708203932,11.19824011,630,912.4143795
Howell,2021,0,3.685714286,0,0.028571429,23.2,10,1096,24.59,1,50,710.2079222,197100,768600,0,-2.304490568,0.574306923,-1.397940009,1.365487985,1.004321374,3.040206628,1.408070286,0.301029996,1.698970004,2.851385512,5.294686624,5.88570038,0,1.91982142,0.169030852,4.816637832,3.16227766,33.10589071,4.958830507,1,7.071067812,26.64972649,443.9594576,876.6983518
Visitor Center,2021,0,48.93333333,0,0.038095238,21.4,0.3,134.5,1.132,10,50,434.2685445,692100,756000,0,-2.304490568,1.69019608,-1.30518596,1.330413773,-0.397940009,2.131939295,0.3287872,1.041392685,1.698970004,2.637758373,5.840168849,5.878521796,0,6.995236474,0.195180014,4.626013402,0.547722558,11.5974135,1.063954886,3.16227766,7.071067812,20.83911093,831.9254774,869.4826048
Seascape 1,2022,0.050432277,2.75,0,0,13.7,0,229.5,15,90,53,386.0542259,615600,734400,0,-1.256548297,0.449735454,-1.942008069,1.136720567,-1,2.36267093,1.204119983,1.959041392,1.72427587,2.586648311,5.789298611,5.865932668,0.224571318,1.658312395,0,3.701351105,0,15.14925741,3.872983346,9.486832981,7.280109889,19.64826267,784.6018098,856.9714114
Seascape 2,2021,0.033783784,0.37037037,0,0.694444444,12.3,0,139.8,2.918,95,60,386.0542259,530100,662400,0,-1.411794412,-0.359481757,-0.151273421,1.089905111,-1,2.148602655,0.593064432,1.982271233,1.77815125,2.586648311,5.724357804,5.821120324,0.183803656,0.608580619,0.833333333,3.507135583,0,11.823705,1.708215443,9.746794345,7.745966692,19.64826267,728.079666,813.879598
Willow Canyon,2021,3.1,2.771428571,0,0,16.8,0.1,450.7,65.08,25,60,725.9154025,734400,739800,0,0.492056054,0.453026965,-1.942008069,1.225309282,-0.698970004,2.654850091,1.820070034,1.414973348,1.77815125,2.860886011,5.865932668,5.869114327,1.760681686,1.664760815,0,4.098780306,0.316227766,21.22969618,8.067217612,5,7.745966692,26.94281727,856.9714114,860.1162712
North Moro Cojo,2024,0,12.00980392,1,0.049019608,19.8,1.9,841.2,21.29,50,60.96,1542.156052,441900,441900,0,-2.304490568,1.081940028,-1.218616778,1.29666519,0.301029996,2.925415237,1.348110068,1.707570176,1.785044958,3.188128323,5.645324002,5.645324002,0,3.4655164,0.221403722,4.449719092,1.378404875,29.00344807,4.614108798,7.071067812,7.807688518,39.27029478,664.7555942,664.7555942
Willow Canyon,2022,3.866666667,5.352380952,0,0.380952381,19.2,0,227.5,5.527,40,62,725.9154025,734400,739800,0,0.587893508,0.733922967,-0.406292084,1.283301229,-1,2.358886204,0.814713613,1.612783857,1.792391689,2.860886011,5.865932668,5.869114327,1.966384161,2.313521332,0.6172134,4.38178046,0,15.08310313,2.350957252,6.32455532,7.874007874,26.94281727,856.9714114,860.1162712
Oxbow,2021,0,0.714285714,0,0,14,0.2,201.9,3.748,80,65,127.3270341,732600,732600,0,-2.304490568,-0.107375447,-1.942008069,1.146128036,-0.522878745,2.307282047,0.67651071,1.908485019,1.812913357,2.104920623,5.864866914,5.864866914,0,0.845154255,0,3.741657387,0.447213596,14.20915198,1.935975206,8.94427191,8.062257748,11.28392813,855.9205571,855.9205571
