pond,year,vert_pred,depth,suitable_598_split,suitable_598,log_larv_dens,log_medium_prey,log_large_prey,log_invert_pred,log_plankton,log_water_temp,log_salinity,log_turbidity,log_dist_to_breed,sqrt_chlorophyll,sqrt_emergent_veg,azolla_presence_absence
Calabasas,2021,0,40,883800,1260000,-0.878660005,1.544595739,2.16242215,-0.45064636,2.386593825,1.444044796,-1,1.033986365,2.319369172,42.80186912,9.486832981,0
Delaney,2021,0,40,974700,1012500,-2.304490568,1.278753601,0.751132408,-1.942008069,2.892094603,1.328379603,-1,0.801197835,2.590041302,18.15488915,5.916079783,0
Ellicott,2021,1,35,671400,840600,-0.58152772,0,1.082101172,-0.953003439,4.03121394,1.260071388,-0.698970004,1.390405156,2.582309171,49.28488612,7.745966692,0
Howell,2021,0,50,197100,768600,-2.304490568,0,0.574306923,-1.397940009,0,1.365487985,1.004321374,1.408070286,2.851385512,33.10589071,1,0
McClusky Slough,2021,1,70,495000,495000,-2.304490568,0,-1.176091257,-1.942008069,1.799340549,1.322219295,-0.045757491,1.383994789,3.739696102,0,3.16227766,0
Millsap 1,2021,0,70,744300,1125000,-2.304490568,0,-0.815667609,-1.942008069,1.642040335,1.120573931,-0.698970004,1.174350597,1.914601108,17.35511452,9.746794345,0
Oxbow,2021,0,65,732600,732600,-2.304490568,0,-0.107375447,-1.942008069,4.295113769,1.146128036,-0.522878745,0.67651071,2.104920623,14.20915198,8.94427191,0
Pond N,2021,0,42,675000,675000,-0.36950005,0,0.670599225,0.236968894,3.927336138,1.198657087,-0.301029996,0.67669361,2.087773581,20.15440399,3.872983346,0
Pond R,2021,0,45,650700,652500,-0.347362331,0,0.039508542,0.047738313,3.855007056,1.328379603,-0.397940009,0.919966702,2.137059698,23.39016887,3.16227766,0
Pond S,2021,0,32,579600,603900,-0.140916347,0,0.776770345,-0.213654271,4.345311637,1.418301291,-0.301029996,1.272305844,2.137059698,16.96466917,5.477225575,0
Prospect,2021,1,40,639900,882900,0.436724122,0.77815125,1.014440529,-1.589825547,2.749736316,1.387389826,-0.522878745,1.511080846,2.582309171,38.48376281,3.872983346,0
Seascape 1,2021,0,65,615600,734400,-0.749024934,0,0.863531555,0.268000518,2.652798703,1.264817823,-1,0.577031986,2.586648311,14.56708619,9.486832981,0
Seascape 2,2021,0,60,530100,662400,-1.411794412,1.436413749,-0.359481757,-0.151273421,2.493494739,1.089905111,-1,0.593064432,2.586648311,11.823705,9.746794345,0
Seascape 3,2021,0,75,455400,910800,-0.066199579,0.57723641,0.615862413,-0.145965206,1.310575313,1.11058971,-0.698970004,1.25791845,2.602569988,12.86468033,8.94427191,0
South Moro Cojo,2021,0,39,732600,899100,-1.424657662,0,1.498244896,-0.737888072,2.72011064,1.408239965,0,1.130976692,3.093714321,30.80422049,7.745966692,0
