pond,year,depth,suitable_598_split,suitable_598,vert_pred,log_larv_dens,log_large_prey,log_invert_pred,log_water_temp,log_salinity,log_turbidity,log_dist_to_breed,sqrt_chlorophyll,sqrt_emergent_veg,azolla_presence_absence
Calabasas,2021,40,883800,1260000,0,-0.8786600045,2.16242215,-0.4506463595,1.444044796,-1,1.033986365,2.319369172,42.80186912,9.486832981,0
Delaney,2021,40,974700,1012500,0,-2.304490568,0.7511324076,-1.942008069,1.328379603,-1,0.8011978345,2.590041302,18.15488915,5.916079783,0
Ellicott,2021,35,671400,840600,1,-0.5815277198,1.082101172,-0.953003439,1.260071388,-0.6989700043,1.390405156,2.582309171,49.28488612,7.745966692,0
Howell,2021,50,197100,768600,0,-2.304490568,0.5743069228,-1.397940009,1.365487985,1.004321374,1.408070286,2.851385512,33.10589071,1,0
McClusky Slough,2021,70,495000,495000,1,-2.304490568,-1.176091257,-1.942008069,1.322219295,-0.04575749056,1.383994789,3.739696102,0,3.16227766,0
Millsap 1,2021,70,744300,1125000,0,-2.304490568,-0.8156676094,-1.942008069,1.120573931,-0.6989700043,1.174350597,1.914601108,17.35511452,9.746794345,0
Oxbow,2021,65,732600,732600,0,-2.304490568,-0.1073754467,-1.942008069,1.146128036,-0.5228787453,0.6765107103,2.104920623,14.20915198,8.94427191,0
Pond N,2021,42,675000,675000,0,-0.3695000503,0.6705992254,0.2369688941,1.198657087,-0.3010299957,0.6766936096,2.087773581,20.15440399,3.872983346,0
Pond R,2021,45,650700,652500,0,-0.347362331,0.03950854159,0.04773831254,1.328379603,-0.3979400087,0.9199667015,2.137059698,23.39016887,3.16227766,0
Pond S,2021,32,579600,603900,0,-0.1409163474,0.7767703447,-0.2136542713,1.418301291,-0.3010299957,1.272305844,2.137059698,16.96466917,5.477225575,0
Prospect,2021,40,639900,882900,1,0.436724122,1.014440529,-1.589825547,1.387389826,-0.5228787453,1.511080846,2.582309171,38.48376281,3.872983346,0
