pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Alexander,2023,0,8.3333333,19.21568627,0,0,200,15.1,0.1,640,207.4,2.035,12,228,827100,827100,-2.304490568,0.970036775,1.285160028,0,-1.942008069,2.303196057,1.178976947,-0.698970004,2.806179974,14.40138882,0.482158695,3.464101615,1
Buena Vista 1,2023,0,148.2,5.288461538,0,0.144230769,3188.2,18.8,0,618.4,209.3,28.98,10,237.7,1070100,1070100,-2.304490568,2.173768823,0.728769873,0,-0.807824815,3.503681755,1.274157849,-1,2.791269481,14.46720429,1.476831629,3.16227766,0
Buena Vista 1,2024,0.100624566,97.777778,2.358490566,0,0.660377359,675.2777778,21.9,0,618.4,78.65,5.135,15,134.112,1070100,1070100,-0.976398257,1.994659253,0.384739901,0,-0.172756167,2.830125117,1.340444115,-1,2.791269481,8.868483523,0.787814567,3.872983346,0
Buena Vista 2,2022,0,3,0.257142857,0,0.028571429,1160,19.5,0.1,618.4,171.4,15.31,3,120,827100,992700,-2.304490568,0.602059991,-0.489710382,0,-1.397940009,3.06483222,1.290034611,-0.698970004,2.791269481,13.09198228,1.212453961,1.732050808,0
Buena Vista 2,2023,0.069767442,21,9.553571429,0,0.089285714,1099,19.9,0,618.4,115.2,4.747,20,173.7,827100,992700,-1.126518042,1.342422681,0.983185821,0,-0.996908926,3.041392685,1.298853076,-1,2.791269481,10.73312629,0.759441197,4.472135955,0
Buena Vista 2,2024,1.25,2.1875,19.86607143,0,0.267857143,404.6875,22.4,0,618.4,60.17,2.599,5,184.404,827100,992700,0.098629993,0.503450193,1.29956696,0,-0.553951279,2.608191626,1.350248018,-1,2.791269481,7.756932383,0.556181847,2.236067977,0
Calabasas,2023,0.095070423,0,13.70940171,0,0.102564103,1752,16.3,0,102.82,103.8,3.577,85,82,883800,1260000,-0.999866518,0,1.13912529,0,-0.943123059,3.243781916,1.212187604,-1,2.0120776,10.1882285,0.660580912,9.219544457,1
Calabasas,2021,0.127272727,34.042553,145.2857143,0,0.342857143,242.5531915,27.8,0,102.82,1832,9.814,90,40,883800,1260000,-0.878660005,1.544595739,2.16242215,0,-0.45064636,2.386593825,1.444044796,-1,2.0120776,42.80186912,1.033986365,9.486832981,0
Calabasas,2022,0.335820896,72.85,109.3283582,0,0.111940299,1931.7,13.6,0,102.82,367.8,4.379,90,27,883800,1260000,-0.467524356,1.8683505,2.038997571,0,-0.908794413,3.286164447,1.133538908,-1,2.0120776,19.17811252,0.730701544,9.486832981,0
Calabasas,2024,0.069332101,0,19.56730769,0,0,1152,15.4,0,102.82,755.4,6.454,15,88.392,883800,1260000,-1.129055506,0,1.293008219,0,-1.942008069,3.061829307,1.187520721,-1,2.0120776,27.48454111,0.872389388,3.872983346,0
Carneros 1,2023,0.133101852,0,11.82692308,0.192307692,0.432692308,66.66666667,15.7,0.4,58.77,162.4,8.194,98,152.4,544500,561600,-0.859925308,0,1.075312954,1,-0.352498809,1.830374783,1.195899652,-0.301029996,1.769155691,12.74362586,0.963504499,9.899494937,0
Carneros 1,2024,0.164473684,2.6666667,12.31132075,4.009433962,0,170.6666667,14.7,0.4,58.77,185,6.402,90,137.16,544500,561600,-0.770999434,0.564271434,1.092650037,1,-1.942008069,2.234685974,1.167317335,-0.301029996,1.769155691,13.60147051,0.869349081,9.486832981,0
Carneros 2,2024,0.084889643,4,27.5,6.203703704,0,60,17.5,0.4,43.77,953.8,5.232,45,111.76,580500,597600,-1.046482112,0.698970004,1.440384255,1,-1.942008069,1.785329835,1.243038049,-0.301029996,1.641176547,30.88365263,0.794627445,6.708203932,0
Carneros 2,2023,0.022970904,0,21.80555556,0,0.555555556,48020,15.9,0.3,43.77,320.8,4.433,70,114.3,580500,597600,-1.553910079,0,1.33989291,0,-0.246429099,4.6814312,1.201397124,-0.397940009,1.641176547,17.91089054,0.735039705,8.366600265,0
Central,2023,0,7.5,44.25,0,0.15,6337.5,18.5,0,566,3559,19.79,60,91.44,236700,310500,-2.304490568,0.929418926,1.646567087,0,-0.792019598,3.801986495,1.267171728,-1,2.752816431,59.65735495,1.317854489,7.745966692,0
Delaney,2021,0,18,5.571428571,0,0,779,21.3,0,371.5,329.6,5.327,35,40,974700,1012500,-2.304490568,1.278753601,0.751132408,0,-1.942008069,2.892094603,1.328379603,-1,2.569958818,18.15488915,0.801197835,5.916079783,0
Delaney,2023,0.169721656,70.2,6.114285714,0,0.152380952,4125.6,15.7,0,371.5,353.3,44.12,60,110,974700,1012500,-0.757751911,1.852479994,0.791055398,0,-0.785660854,3.615592374,1.195899652,-1,2.569958818,18.79627623,1.654369091,7.745966692,0
Delaney,2022,0,38,8.888888889,0,0,423,17.4,0,371.5,259.9,19.09,20,122,974700,1012500,-2.304490568,1.591064607,0.952092532,0,-1.942008069,2.627365857,1.240549248,-1,2.569958818,16.12141433,1.302979937,4.472135955,0
Delaney,2024,0.009578544,51,2.272727273,0,0.409090909,8838,13.6,0,371.5,692,21.38,35,121.92,974700,1012500,-1.837469616,1.716003344,0.369103361,0,-0.376213881,3.946403134,1.133538908,-1,2.569958818,26.30589288,1.349860082,5.916079783,1
Ellicott,2021,0.257142857,0,12.01428571,0.042857143,0.1,10744.18605,18.2,0.1,385,2429,23.57,60,35,671400,840600,-0.58152772,0,1.082101172,1,-0.953003439,4.03121394,1.260071388,-0.698970004,2.58546073,49.28488612,1.390405156,7.745966692,0
Ellicott,2023,0,19,12.26285714,0,0.011428571,1681.5,18,0.1,385,709.85,24.86,25,218,671400,840600,-2.304490568,1.301029996,1.090946304,0,-1.640978074,3.225955073,1.255272505,-0.698970004,2.58546073,26.64301034,1.412628521,5,1
Ellicott,2022,0.199134199,0,4.171428571,0.085714286,0,1944,18.4,0,385,1094,11.62,30,66,671400,840600,-0.690168665,0,0.627170712,1,-1.942008069,3.288919606,1.264817823,-1,2.58546073,33.07567082,1.101059355,5.477225575,0
